account_id,account_type,account_age_days,kyc_status,device_hash,ip_subnet,is_mule
9a9baa2f,WALLET,1298,FULL,DEV_LEGIT_b4873ff2,192.168.198.0/24,0
0af3737d,CURRENT,691,FULL,DEV_LEGIT_97fbbeac,192.168.219.0/24,0
7a9704b1,SAVINGS,778,FULL,DEV_LEGIT_71cbf1ae,192.168.98.0/24,0
02495f79,CURRENT,2222,FULL,DEV_LEGIT_30126ded,192.168.163.0/24,0
f51cc89b,CURRENT,1031,FULL,DEV_LEGIT_c9fcb319,192.168.95.0/24,0
e17fe9a5,CURRENT,1223,FULL,DEV_LEGIT_4c8814f9,192.168.172.0/24,0
2b92a337,CURRENT,657,FULL,DEV_LEGIT_b02ce56d,192.168.156.0/24,0
db80d4f1,WALLET,1065,FULL,DEV_LEGIT_5524fe59,192.168.137.0/24,0
f71e13d7,WALLET,1367,FULL,DEV_LEGIT_d90d1bac,192.168.42.0/24,0
078e7f33,CURRENT,1919,FULL,DEV_LEGIT_f1e6d8c1,192.168.70.0/24,0
38dfc8fe,WALLET,2646,FULL,DEV_LEGIT_c0f7e93e,192.168.57.0/24,0
2ed91498,WALLET,1693,FULL,DEV_LEGIT_753c4220,192.168.216.0/24,0
e323daef,SAVINGS,1303,FULL,DEV_LEGIT_4df8a312,192.168.211.0/24,0
ac843e97,SAVINGS,1657,FULL,DEV_LEGIT_426df731,192.168.103.0/24,0
01f494d4,CURRENT,636,FULL,DEV_LEGIT_a7b55d11,192.168.55.0/24,0
70bc1fb6,WALLET,1653,FULL,DEV_LEGIT_edd412ba,192.168.55.0/24,0
e9894f60,WALLET,2409,FULL,DEV_LEGIT_7d677ccb,192.168.102.0/24,0
87401e1f,WALLET,2244,FULL,DEV_LEGIT_cdf20474,192.168.37.0/24,0
d9edba35,CURRENT,936,FULL,DEV_LEGIT_855ae1f8,192.168.64.0/24,0
509e5859,WALLET,2664,FULL,DEV_LEGIT_4fc50d7a,192.168.138.0/24,0
3e3f490d,CURRENT,2759,FULL,DEV_LEGIT_7ad95a53,192.168.110.0/24,0
6c2a5a56,WALLET,2000,FULL,DEV_LEGIT_2f2e95d5,192.168.93.0/24,0
82df05a5,SAVINGS,931,FULL,DEV_LEGIT_4d6e5a8b,192.168.131.0/24,0
9400de6c,CURRENT,737,FULL,DEV_LEGIT_181410bf,192.168.194.0/24,0
c3bd8147,SAVINGS,814,FULL,DEV_LEGIT_faa8533b,192.168.40.0/24,0
6a6da10b,WALLET,1020,FULL,DEV_LEGIT_4c7d00f8,192.168.203.0/24,0
0eec733a,WALLET,2094,FULL,DEV_LEGIT_4931f7be,192.168.153.0/24,0
e35bfef7,SAVINGS,1941,FULL,DEV_LEGIT_dfd20b32,192.168.98.0/24,0
461c8dc2,WALLET,2282,FULL,DEV_LEGIT_4cbc4e55,192.168.136.0/24,0
3b401b2c,CURRENT,2631,FULL,DEV_LEGIT_530fb629,192.168.221.0/24,0
5337f0f8,SAVINGS,834,FULL,DEV_LEGIT_c2a488ab,192.168.175.0/24,0
c6d4b1e6,WALLET,1457,FULL,DEV_LEGIT_d58c7067,192.168.197.0/24,0
ef370b55,WALLET,1758,FULL,DEV_LEGIT_26692536,192.168.29.0/24,0
0224ccc8,CURRENT,2145,FULL,DEV_LEGIT_ef0ffd70,192.168.41.0/24,0
51b38e66,CURRENT,378,FULL,DEV_LEGIT_1f3dbad8,192.168.245.0/24,0
538a3f0f,WALLET,1443,FULL,DEV_LEGIT_877f61b8,192.168.249.0/24,0
fcd43191,WALLET,1096,FULL,DEV_LEGIT_e2b120bf,192.168.130.0/24,0
eb2bfcfe,SAVINGS,2926,FULL,DEV_LEGIT_23e26877,192.168.77.0/24,0
7f58a128,WALLET,2444,FULL,DEV_LEGIT_b1fd60fa,192.168.156.0/24,0
5a91323e,SAVINGS,991,FULL,DEV_LEGIT_312c7f07,192.168.96.0/24,0
c63f1b71,SAVINGS,2574,FULL,DEV_LEGIT_0893fd4c,192.168.245.0/24,0
1dbc9ec4,WALLET,367,FULL,DEV_LEGIT_b643c07d,192.168.154.0/24,0
722ac46a,CURRENT,2366,FULL,DEV_LEGIT_9f8b1ef0,192.168.5.0/24,0
edbfc17e,SAVINGS,1851,FULL,DEV_LEGIT_99120801,192.168.225.0/24,0
0cbc15b2,CURRENT,1345,FULL,DEV_LEGIT_e6e6dc8a,192.168.15.0/24,0
a9ec9530,SAVINGS,2688,FULL,DEV_LEGIT_66879688,192.168.243.0/24,0
bf6a52a0,SAVINGS,715,FULL,DEV_LEGIT_cb967da8,192.168.188.0/24,0
9039c474,CURRENT,648,FULL,DEV_LEGIT_5563fa5a,192.168.251.0/24,0
cd6ac9d2,WALLET,880,FULL,DEV_LEGIT_94a8562a,192.168.33.0/24,0
fc80b0a8,WALLET,2311,FULL,DEV_LEGIT_38abb312,192.168.243.0/24,0
682a6ee7,WALLET,1041,FULL,DEV_LEGIT_8d97e3dd,192.168.68.0/24,0
dd52c057,WALLET,2849,FULL,DEV_LEGIT_2d540420,192.168.109.0/24,0
188d2e25,SAVINGS,2573,FULL,DEV_LEGIT_dbdcd478,192.168.194.0/24,0
58e46b12,WALLET,1188,FULL,DEV_LEGIT_df8596de,192.168.183.0/24,0
c1593d88,CURRENT,1999,FULL,DEV_LEGIT_812a11a0,192.168.255.0/24,0
562854d2,WALLET,1894,FULL,DEV_LEGIT_b1068f25,192.168.113.0/24,0
3664992f,WALLET,2214,FULL,DEV_LEGIT_e8e2cf2b,192.168.31.0/24,0
f365eca1,SAVINGS,1285,FULL,DEV_LEGIT_f9e806ef,192.168.17.0/24,0
f0f5a7cd,CURRENT,451,FULL,DEV_LEGIT_170d68d8,192.168.151.0/24,0
82966d11,WALLET,1307,FULL,DEV_LEGIT_85c7c4ec,192.168.151.0/24,0
9e46fd63,SAVINGS,394,FULL,DEV_LEGIT_cc9f3e1a,192.168.19.0/24,0
81458f5a,WALLET,2949,FULL,DEV_LEGIT_ac8c3217,192.168.16.0/24,0
96e7c8e0,SAVINGS,641,FULL,DEV_LEGIT_be5d64f0,192.168.232.0/24,0
eee686a8,SAVINGS,1718,FULL,DEV_LEGIT_61a1daf9,192.168.19.0/24,0
c9bb2bef,WALLET,1339,FULL,DEV_LEGIT_2c186566,192.168.72.0/24,0
562307b5,WALLET,2353,FULL,DEV_LEGIT_d6c7e7a5,192.168.55.0/24,0
d98dbdc2,WALLET,906,FULL,DEV_LEGIT_b4b8dbd8,192.168.186.0/24,0
cc979396,WALLET,2725,FULL,DEV_LEGIT_c333927f,192.168.122.0/24,0
53b2deac,SAVINGS,2302,FULL,DEV_LEGIT_571de76c,192.168.207.0/24,0
4a4ccc2f,CURRENT,1144,FULL,DEV_LEGIT_bbb1a565,192.168.25.0/24,0
48a38208,SAVINGS,2130,FULL,DEV_LEGIT_a7e5d67e,192.168.91.0/24,0
b2271b29,CURRENT,2048,FULL,DEV_LEGIT_0cc270b2,192.168.120.0/24,0
e1e704bb,WALLET,586,FULL,DEV_LEGIT_9e401f3f,192.168.173.0/24,0
a77327c3,WALLET,768,FULL,DEV_LEGIT_16f90d1c,192.168.16.0/24,0
be1ac5d3,CURRENT,1754,FULL,DEV_LEGIT_0a6fd839,192.168.205.0/24,0
d0baedda,SAVINGS,1383,FULL,DEV_LEGIT_8bdba70e,192.168.50.0/24,0
c7760bea,SAVINGS,2561,FULL,DEV_LEGIT_7cacc2ae,192.168.115.0/24,0
cd886ac8,SAVINGS,2093,FULL,DEV_LEGIT_f8847a6c,192.168.47.0/24,0
d5bf5fa0,CURRENT,2259,FULL,DEV_LEGIT_3061716a,192.168.64.0/24,0
0316c600,SAVINGS,2180,FULL,DEV_LEGIT_cf564d13,192.168.207.0/24,0
099a2f45,WALLET,766,FULL,DEV_LEGIT_bb9eae5d,192.168.13.0/24,0
9a254bc7,WALLET,2579,FULL,DEV_LEGIT_4781f3cd,192.168.215.0/24,0
2ae8bf6e,SAVINGS,747,FULL,DEV_LEGIT_84da6292,192.168.238.0/24,0
ed3e8791,SAVINGS,1046,FULL,DEV_LEGIT_7ea5b8d2,192.168.105.0/24,0
57de99e4,CURRENT,2336,FULL,DEV_LEGIT_770f6d5d,192.168.55.0/24,0
33eda613,CURRENT,605,FULL,DEV_LEGIT_d13eaa0f,192.168.43.0/24,0
caec7563,CURRENT,373,FULL,DEV_LEGIT_027df731,192.168.253.0/24,0
8a98ef15,CURRENT,1451,FULL,DEV_LEGIT_b3a4f7e9,192.168.238.0/24,0
2560d21c,CURRENT,1533,FULL,DEV_LEGIT_292fdd1d,192.168.109.0/24,0
323924d3,WALLET,2641,FULL,DEV_LEGIT_fe139af6,192.168.170.0/24,0
b90dc6fb,WALLET,2358,FULL,DEV_LEGIT_597bbe11,192.168.40.0/24,0
ef4c0094,SAVINGS,1580,FULL,DEV_LEGIT_9f0ceb4a,192.168.56.0/24,0
421ae4ab,SAVINGS,2737,FULL,DEV_LEGIT_91d80ed3,192.168.189.0/24,0
381ebc85,WALLET,614,FULL,DEV_LEGIT_350b3c75,192.168.192.0/24,0
a0246891,CURRENT,599,FULL,DEV_LEGIT_d37ac532,192.168.13.0/24,0
a16e606c,WALLET,2317,FULL,DEV_LEGIT_cbb7e44f,192.168.129.0/24,0
b1db5c93,WALLET,1009,FULL,DEV_LEGIT_db081b2b,192.168.15.0/24,0
48398a52,WALLET,693,FULL,DEV_LEGIT_34da1087,192.168.218.0/24,0
9e539648,SAVINGS,645,FULL,DEV_LEGIT_8da26783,192.168.153.0/24,0
812cff84,SAVINGS,1328,FULL,DEV_LEGIT_f220e153,192.168.104.0/24,0
364ccc9c,SAVINGS,2698,FULL,DEV_LEGIT_75a5ae8e,192.168.64.0/24,0
6c0ade91,WALLET,2800,FULL,DEV_LEGIT_2765357d,192.168.11.0/24,0
568e00e3,WALLET,700,FULL,DEV_LEGIT_1c457f8a,192.168.108.0/24,0
07812263,WALLET,2755,FULL,DEV_LEGIT_07e49e64,192.168.145.0/24,0
60fb2c0f,WALLET,1660,FULL,DEV_LEGIT_ef346e13,192.168.240.0/24,0
22561856,CURRENT,1201,FULL,DEV_LEGIT_619a818f,192.168.172.0/24,0
8b6a7376,WALLET,1651,FULL,DEV_LEGIT_d414b7c8,192.168.62.0/24,0
fbb87858,CURRENT,1986,FULL,DEV_LEGIT_b7ebab7c,192.168.34.0/24,0
f3f0c3a3,WALLET,1593,FULL,DEV_LEGIT_7d550ca4,192.168.118.0/24,0
bad1839b,CURRENT,662,FULL,DEV_LEGIT_e29d36d0,192.168.3.0/24,0
465fde3f,CURRENT,2909,FULL,DEV_LEGIT_2ddd547c,192.168.145.0/24,0
c4064e1f,SAVINGS,665,FULL,DEV_LEGIT_64fe4283,192.168.138.0/24,0
b9ab3060,SAVINGS,2437,FULL,DEV_LEGIT_b00ec7cd,192.168.68.0/24,0
fafc5cbc,SAVINGS,1794,FULL,DEV_LEGIT_e5ffdba6,192.168.226.0/24,0
9afe2a15,SAVINGS,1365,FULL,DEV_LEGIT_705ee1a2,192.168.95.0/24,0
8480aa61,CURRENT,1011,FULL,DEV_LEGIT_a10f81cf,192.168.113.0/24,0
5f17d90d,WALLET,1604,FULL,DEV_LEGIT_af0ad2a5,192.168.157.0/24,0
d58a771a,WALLET,2531,FULL,DEV_LEGIT_9cefc82c,192.168.3.0/24,0
33ac3327,WALLET,2636,FULL,DEV_LEGIT_fbc68253,192.168.77.0/24,0
c17cd1b9,WALLET,789,FULL,DEV_LEGIT_d63e1922,192.168.241.0/24,0
694f15e3,SAVINGS,1448,FULL,DEV_LEGIT_5d7c46bc,192.168.30.0/24,0
89830381,SAVINGS,2631,FULL,DEV_LEGIT_0d521b56,192.168.40.0/24,0
77982a33,CURRENT,1519,FULL,DEV_LEGIT_ae2408d6,192.168.155.0/24,0
7a917f1f,SAVINGS,1769,FULL,DEV_LEGIT_c1dd1021,192.168.53.0/24,0
0eae8339,WALLET,2962,FULL,DEV_LEGIT_a6fef08f,192.168.219.0/24,0
6d692953,CURRENT,2435,FULL,DEV_LEGIT_2309ca66,192.168.126.0/24,0
47e1b300,CURRENT,573,FULL,DEV_LEGIT_b74661bf,192.168.24.0/24,0
9e941eea,WALLET,2099,FULL,DEV_LEGIT_eb5e12c2,192.168.213.0/24,0
0e3483f1,CURRENT,545,FULL,DEV_LEGIT_0b50aff0,192.168.1.0/24,0
81faacd9,CURRENT,900,FULL,DEV_LEGIT_303c1bae,192.168.164.0/24,0
a5f778c0,CURRENT,1026,FULL,DEV_LEGIT_ae7110bf,192.168.190.0/24,0
af4cf073,CURRENT,2624,FULL,DEV_LEGIT_03b827b8,192.168.181.0/24,0
46bc65ce,CURRENT,2662,FULL,DEV_LEGIT_1cd42bd8,192.168.3.0/24,0
2da16537,SAVINGS,673,FULL,DEV_LEGIT_1ea832ce,192.168.242.0/24,0
4af98049,WALLET,975,FULL,DEV_LEGIT_ccbc75a4,192.168.140.0/24,0
7a082282,SAVINGS,1877,FULL,DEV_LEGIT_8d150834,192.168.150.0/24,0
5bc13b53,WALLET,971,FULL,DEV_LEGIT_137f29e4,192.168.111.0/24,0
3774198e,SAVINGS,536,FULL,DEV_LEGIT_9bdd3ebe,192.168.79.0/24,0
14c36c55,CURRENT,528,FULL,DEV_LEGIT_518272e9,192.168.231.0/24,0
a6cbddac,CURRENT,1225,FULL,DEV_LEGIT_a42bd8de,192.168.175.0/24,0
1613aa1a,SAVINGS,786,FULL,DEV_LEGIT_6150dbb3,192.168.91.0/24,0
b05219d8,WALLET,2029,FULL,DEV_LEGIT_43d88a99,192.168.250.0/24,0
893a004a,WALLET,998,FULL,DEV_LEGIT_3ed8b426,192.168.237.0/24,0
37da0dea,SAVINGS,1030,FULL,DEV_LEGIT_dd1a62e4,192.168.250.0/24,0
3b9469bb,SAVINGS,2053,FULL,DEV_LEGIT_9070da61,192.168.7.0/24,0
67d9da38,SAVINGS,1725,FULL,DEV_LEGIT_aa8cb8dd,192.168.201.0/24,0
67615fff,CURRENT,1381,FULL,DEV_LEGIT_18e9a34c,192.168.69.0/24,0
801d500f,SAVINGS,807,FULL,DEV_LEGIT_69842de3,192.168.98.0/24,0
3b4c8bd8,SAVINGS,2292,FULL,DEV_LEGIT_42dbead3,192.168.57.0/24,0
2a4a14b1,SAVINGS,2250,FULL,DEV_LEGIT_140e6f9f,192.168.90.0/24,0
384959a0,CURRENT,1297,FULL,DEV_LEGIT_1fd02f6b,192.168.58.0/24,0
5b23e14a,SAVINGS,1156,FULL,DEV_LEGIT_8fa70fe5,192.168.103.0/24,0
65de581d,CURRENT,1506,FULL,DEV_LEGIT_e0912aaf,192.168.222.0/24,0
ea3d58eb,SAVINGS,1508,FULL,DEV_LEGIT_d8ee8377,192.168.90.0/24,0
9ab47beb,WALLET,2451,FULL,DEV_LEGIT_75ce733b,192.168.103.0/24,0
ac0ed040,WALLET,2561,FULL,DEV_LEGIT_f96aafcd,192.168.85.0/24,0
56f15128,SAVINGS,837,FULL,DEV_LEGIT_7aef0e2d,192.168.225.0/24,0
b01b27bc,CURRENT,1096,FULL,DEV_LEGIT_d603761a,192.168.149.0/24,0
d390079d,CURRENT,521,FULL,DEV_LEGIT_65f11e15,192.168.28.0/24,0
e5dc7b70,WALLET,2144,FULL,DEV_LEGIT_0b4e03ee,192.168.89.0/24,0
e3e905e6,WALLET,1649,FULL,DEV_LEGIT_a0355bc7,192.168.112.0/24,0
5fd0491e,WALLET,2459,FULL,DEV_LEGIT_a87edf35,192.168.30.0/24,0
a0971db1,CURRENT,2726,FULL,DEV_LEGIT_0bef5a9c,192.168.49.0/24,0
fd0f8b19,CURRENT,546,FULL,DEV_LEGIT_91901857,192.168.182.0/24,0
6d8f9306,CURRENT,371,FULL,DEV_LEGIT_6b73b942,192.168.134.0/24,0
8e8c07ce,WALLET,1172,FULL,DEV_LEGIT_4d2b087d,192.168.94.0/24,0
02f9e62c,CURRENT,651,FULL,DEV_LEGIT_ee4e6a87,192.168.243.0/24,0
48dcdcc1,WALLET,1717,FULL,DEV_LEGIT_a3d161a4,192.168.160.0/24,0
26f765ae,CURRENT,875,FULL,DEV_LEGIT_01e193a6,192.168.185.0/24,0
e9dc90f0,CURRENT,2442,FULL,DEV_LEGIT_cd8fa7c3,192.168.80.0/24,0
8a55eb3f,WALLET,2037,FULL,DEV_LEGIT_1993d4bb,192.168.84.0/24,0
f3062bcb,CURRENT,1576,FULL,DEV_LEGIT_8cd43852,192.168.142.0/24,0
4e54f099,SAVINGS,1150,FULL,DEV_LEGIT_7a1738f9,192.168.108.0/24,0
7b3dd9fb,WALLET,1917,FULL,DEV_LEGIT_87dc9d61,192.168.174.0/24,0
ce117433,WALLET,1077,FULL,DEV_LEGIT_d4adf92a,192.168.158.0/24,0
15a0591a,WALLET,1597,FULL,DEV_LEGIT_b956464a,192.168.104.0/24,0
09cd0501,WALLET,366,FULL,DEV_LEGIT_b649e1dc,192.168.78.0/24,0
33315a16,CURRENT,1225,FULL,DEV_LEGIT_e35cd0a5,192.168.111.0/24,0
3272451d,CRYPTO,25,NONE,DEV_MULE_3a0a25,10.0.10.0/24,1
1b6da56a,CRYPTO,26,MIN,DEV_MULE_bacefb,10.0.10.0/24,1
04f22755,CRYPTO,43,MIN,DEV_MULE_7e09e3,10.0.6.0/24,1
64fd128d,CRYPTO,18,MIN,DEV_MULE_75850c,10.0.8.0/24,1
3c8362d8,CRYPTO,75,MIN,DEV_MULE_f3d119,10.0.8.0/24,1
537d05b4,CRYPTO,68,MIN,DEV_MULE_d5e8b1,10.0.8.0/24,1
aa691649,CRYPTO,78,NONE,DEV_MULE_379ce3,10.0.4.0/24,1
ca9065f4,CRYPTO,33,MIN,DEV_MULE_6ca212,10.0.9.0/24,1
2f162812,CRYPTO,69,MIN,DEV_MULE_9120fb,10.0.8.0/24,1
809e5c17,CRYPTO,81,NONE,DEV_MULE_253f23,10.0.3.0/24,1
99d931cc,WALLET,46,MIN,DEV_MULE_3a0a25,10.0.10.0/24,1
d6b56010,WALLET,74,NONE,DEV_MULE_bacefb,10.0.10.0/24,1
24ce5188,WALLET,79,NONE,DEV_MULE_f038d8,10.0.6.0/24,1
c4c90037,WALLET,75,NONE,DEV_MULE_96951f,10.0.8.0/24,1
6d672ead,WALLET,50,NONE,DEV_MULE_91e76c,10.0.8.0/24,1
323ffc43,CRYPTO,71,MIN,DEV_MULE_d5e8b1,10.0.8.0/24,1
407cdbe0,WALLET,49,NONE,DEV_MULE_24a671,10.0.4.0/24,1
e0619993,WALLET,25,MIN,DEV_MULE_6ca212,10.0.9.0/24,1
36de9f1c,WALLET,64,MIN,DEV_MULE_9120fb,10.0.8.0/24,1
c2d907c0,SAVINGS,68,NONE,DEV_MULE_427584,10.0.3.0/24,1
0cfa8480,WALLET,74,NONE,DEV_MULE_f408c8,10.0.10.0/24,1
9c009f1c,WALLET,68,NONE,DEV_MULE_827c43,10.0.10.0/24,1
02ba7f87,WALLET,63,NONE,DEV_MULE_7e09e3,10.0.6.0/24,1
f8a02623,CRYPTO,53,NONE,DEV_MULE_96951f,10.0.8.0/24,1
d26e3ca4,WALLET,84,MIN,DEV_MULE_f3d119,10.0.8.0/24,1
9cca5758,WALLET,49,NONE,DEV_MULE_d5e8b1,10.0.8.0/24,1
455e7c81,SAVINGS,64,NONE,DEV_MULE_24a671,10.0.4.0/24,1
539ad5a1,WALLET,74,MIN,DEV_MULE_6ca212,10.0.9.0/24,1
64a41af2,SAVINGS,90,MIN,DEV_MULE_9120fb,10.0.8.0/24,1
d057f0af,SAVINGS,32,NONE,DEV_MULE_253f23,10.0.3.0/24,1
06d9d783,SAVINGS,48,NONE,DEV_MULE_3a0a25,10.0.10.0/24,1
c324544b,WALLET,73,NONE,DEV_MULE_bacefb,10.0.10.0/24,1
790e4caf,SAVINGS,50,NONE,DEV_MULE_f038d8,10.0.6.0/24,1
cb92e95c,SAVINGS,75,MIN,DEV_MULE_75850c,10.0.8.0/24,1
6fbf386a,CRYPTO,43,MIN,DEV_MULE_91e76c,10.0.8.0/24,1
ddd34e47,SAVINGS,46,MIN,DEV_MULE_f66c88,10.0.8.0/24,1
5c068224,WALLET,34,MIN,DEV_MULE_379ce3,10.0.4.0/24,1
595ea445,SAVINGS,29,MIN,DEV_MULE_35b9a6,10.0.9.0/24,1
37e451b8,CRYPTO,62,MIN,DEV_MULE_9120fb,10.0.8.0/24,1
5dce5b4d,WALLET,54,MIN,DEV_MULE_253f23,10.0.3.0/24,1
1cee0da1,CRYPTO,88,NONE,DEV_MULE_3a0a25,10.0.10.0/24,1
3f90b17b,WALLET,24,MIN,DEV_MULE_827c43,10.0.10.0/24,1
b753e337,CRYPTO,30,MIN,DEV_MULE_f038d8,10.0.6.0/24,1
9ad51572,WALLET,69,NONE,DEV_MULE_75850c,10.0.8.0/24,1
c50da26f,WALLET,58,MIN,DEV_MULE_f3d119,10.0.8.0/24,1
15abd17d,SAVINGS,28,NONE,DEV_MULE_d5e8b1,10.0.8.0/24,1
201f29a5,SAVINGS,34,NONE,DEV_MULE_379ce3,10.0.4.0/24,1
31266a78,WALLET,49,NONE,DEV_MULE_35b9a6,10.0.9.0/24,1
babac810,SAVINGS,90,NONE,DEV_MULE_bc8b30,10.0.8.0/24,1
4553a799,WALLET,26,NONE,DEV_MULE_427584,10.0.3.0/24,1
